Timestamp,Device,Action
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:35,led1,ON
2025-06-19 06:18:36,led1,ON
2025-06-19 06:18:36,led1,ON
2025-06-19 06:18:36,led1,ON
2025-06-19 06:18:36,led1,ON
2025-06-19 06:18:36,led1,ON
2025-06-19 06:18:36,led1,ON
2025-06-19 06:18:36,led1,ON
2025-06-19 06:18:36,led1,ON
2025-06-19 06:18:36,led1,ON
2025-06-19 06:18:36,led1,ON
2025-06-19 06:18:36,led1,ON
2025-06-19 06:18:36,led1,ON
2025-06-19 06:18:36,led1,ON
2025-06-19 06:18:36,led1,ON
2025-06-19 06:18:36,led1,ON
2025-06-19 06:18:36,led1,ON
2025-06-19 06:18:36,led1,ON
2025-06-19 06:18:36,led1,ON
2025-06-19 06:18:36,led1,ON
2025-06-19 06:18:36,led1,ON
2025-06-19 06:18:36,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:39,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:40,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
2025-06-19 06:18:41,led1,ON
